"Plan ID","Date/Time","Description","Status","Finalized By","Finalized Date/Time"
"=""845532""","=""10/17/2021 7:00:00 AM GST""","=""Cake 8am - 10am""","=""Completed""","="" ""","="""""
"=""846032""","=""10/17/2021 9:00:00 AM GST""","=""Cake 10AM - 2PM""","=""Completed""","="" ""","="""""
"=""843501""","=""10/17/2021 1:00:00 PM GST""","=""Cake 2PM - 6PM""","=""Completed""","="" ""","="""""
"=""848700""","=""10/18/2021 7:00:00 AM GST""","=""Cake 8am - 10am""","=""Completed""","="" ""","="""""
"=""849633""","=""10/18/2021 9:00:00 AM GST""","=""Cake 10AM - 2PM""","=""Completed""","="" ""","="""""
"=""847562""","=""10/18/2021 1:00:00 PM GST""","=""Cake 2PM - 6PM""","=""Completed""","="" ""","="""""
"=""852227""","=""10/19/2021 7:00:00 AM GST""","=""Cake 8am - 10am""","=""Completed""","=""Data Service""","=""10/20/2021 12:07:00 AM GST"""
"=""852239""","=""10/19/2021 9:00:00 AM GST""","=""Cake 10AM - 2PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:09:30 AM GST"""
"=""851146""","=""10/19/2021 1:00:00 PM GST""","=""Cake 2PM - 6PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:18:00 AM GST"""
"=""856263""","=""10/20/2021 7:00:00 AM GST""","=""Cake 8am - 10am""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:45 AM GST"""
"=""856686""","=""10/20/2021 9:00:00 AM GST""","=""Cake 10AM - 2PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:46 AM GST"""
"=""853916""","=""10/20/2021 1:00:00 PM GST""","=""Cake 2PM - 6PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:49 AM GST"""
"=""848557""","=""10/17/2021 4:00:00 AM GST""","=""5:00AM Bake Wave""","=""Completed""","=""b171""","=""10/17/2021 9:08:24 AM GST"""
"=""850561""","=""10/17/2021 10:00:00 AM GST""","=""11:00AM Bake Wave""","=""Completed""","="" ""","="""""
"=""851141""","=""10/17/2021 2:00:00 PM GST""","=""3:00PM Bake Wave""","=""Completed""","="" ""","="""""
"=""851215""","=""10/18/2021 4:00:00 AM GST""","=""5:00AM Bake Wave""","=""Completed""","="" ""","="""""
"=""852737""","=""10/18/2021 10:00:00 AM GST""","=""11:00AM Bake Wave""","=""Completed""","="" ""","="""""
"=""854243""","=""10/18/2021 2:00:00 PM GST""","=""3:00PM Bake Wave""","=""Completed""","="" ""","="""""
"=""855250""","=""10/19/2021 4:00:00 AM GST""","=""5:00AM Bake Wave""","=""Completed""","=""Data Service""","=""10/20/2021 12:05:46 AM GST"""
"=""856773""","=""10/19/2021 10:00:00 AM GST""","=""11:00AM Bake Wave""","=""Completed""","=""Data Service""","=""10/20/2021 12:14:01 AM GST"""
"=""858281""","=""10/19/2021 2:00:00 PM GST""","=""3:00PM Bake Wave""","=""Completed""","=""Data Service""","=""10/20/2021 12:21:36 AM GST"""
"=""867264""","=""10/20/2021 4:00:00 AM GST""","=""5:00AM Bake Wave""","=""Completed""","=""b171""","=""10/20/2021 9:40:30 AM GST"""
"=""867210""","=""10/20/2021 10:00:00 AM GST""","=""11:00AM Bake Wave""","=""Completed""","=""b171""","=""10/20/2021 10:44:32 AM GST"""
"=""867224""","=""10/20/2021 2:00:00 PM GST""","=""3:00PM Bake Wave""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:50 AM GST"""
"=""848655""","=""10/17/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","="" ""","="""""
"=""849295""","=""10/17/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","="" ""","="""""
"=""850222""","=""10/17/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","="" ""","="""""
"=""850807""","=""10/17/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","="" ""","="""""
"=""851170""","=""10/17/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","="" ""","="""""
"=""851892""","=""10/18/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","="" ""","="""""
"=""852403""","=""10/18/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","="" ""","="""""
"=""853408""","=""10/18/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","="" ""","="""""
"=""854080""","=""10/18/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","="" ""","="""""
"=""854421""","=""10/18/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","="" ""","="""""
"=""854914""","=""10/18/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","="" ""","="""""
"=""855928""","=""10/19/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 12:07:24 AM GST"""
"=""856351""","=""10/19/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 12:09:44 AM GST"""
"=""857446""","=""10/19/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:14:43 AM GST"""
"=""857939""","=""10/19/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:18:21 AM GST"""
"=""858461""","=""10/19/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:22:03 AM GST"""
"=""858954""","=""10/19/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/20/2021 12:22:15 AM GST"""
"=""861588""","=""10/20/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:45 AM GST"""
"=""862562""","=""10/20/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:46 AM GST"""
"=""863536""","=""10/20/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:47 AM GST"""
"=""864510""","=""10/20/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:49 AM GST"""
"=""865484""","=""10/20/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:50 AM GST"""
"=""866458""","=""10/20/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:50 AM GST"""
"=""848606""","=""10/17/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","="" ""","="""""
"=""849791""","=""10/17/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","="" ""","="""""
"=""851461""","=""10/18/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","="" ""","="""""
"=""852976""","=""10/18/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","="" ""","="""""
"=""855497""","=""10/19/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 12:06:17 AM GST"""
"=""857012""","=""10/19/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/20/2021 12:14:19 AM GST"""
"=""860104""","=""10/20/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:44 AM GST"""
"=""860503""","=""10/20/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/21/2021 2:10:47 AM GST"""
