Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,

171,Outside Production Schedule,0,10/17/2021,105493913,MIN: MORRISONS CINNAMON BUN 2PK,,,,2,,,
171,Outside Production Schedule,0,10/17/2021,105615183,MIN: M Triple Choc Muffins 4 Pack,,,,5,,,
171,Outside Production Schedule,0,10/17/2021,105615212,MIN: M Lemon Muffins 4Pk,,,,2,,,
171,Outside Production Schedule,0,10/17/2021,105615239,MIN: M Chocolate Chunk Muffin 4 Pack,,,,14,,,
171,Outside Production Schedule,0,10/17/2021,105628620,MIN: MORRISONS FRESH CREAM APPLE TURNOVERS 2PK,,,,1,,,
171,Outside Production Schedule,0,10/17/2021,105629913,MIN: MORRISONS FRESH CREAM VANILLA MUFFINS 2PK,,,,1,,,
171,Outside Production Schedule,0,10/17/2021,105713293,MIN: M Milk Chocolate Chunk Cookies 5 pack,,,,4,,,
171,Outside Production Schedule,0,10/17/2021,105713314,MIN: M Oat and Raisin Cookies 5 pack,,,,4,,,
171,Outside Production Schedule,0,10/17/2021,105713373,MIN: THE BEST BELGIAN MILK COOKIES 4PK,,,,3,,,
171,Outside Production Schedule,0,10/17/2021,105713411,MIN: THE BEST TRIPLE CHOCOLATE COOKIES 4PK,,,,1,,,
171,Outside Production Schedule,0,10/17/2021,105713584,MIN: MORRISONS YUM YUMS 4PK,,,,2,,,
171,Outside Production Schedule,0,10/17/2021,108808212,MIN: MORRISONS THE BEST BELGIAN MILK CHOCOLATE SHO,,,,8,,,
171,Outside Production Schedule,0,10/17/2021,108808239,MIN: MORRISONS THE BEST GRANOLA SQUARES 4PK,,,,3,,,
171,Outside Production Schedule,0,10/17/2021,108886691,MIN: MORRISONS MARKET ST FRESH CREAM WHITE ICED FI,,,,1,,,
171,Outside Production Schedule,0,10/17/2021,108887037,MIN: MORRISONS MARKET ST LARGE RASPBERRY TRIFLE,,,,1,,,
171,Outside Production Schedule,0,10/17/2021,109726201,MIN: MORRISONS STRAWBERRY & CREAM MERINGUES 2PK,,,,3,,,
171,Outside Production Schedule,0,10/17/2021,111744766,MIN: MORRISONS THE BEST BELGIAN WHITE CHOCOLATE CO,,,,6,,,
171,273,848557,10/17/2021,273001,White Bread Mix 16kg (Full Mix),0,,,,,0,
171,273,848557,10/17/2021,273002,White Soft Mix 16kg (Full Mix),0,,,,,0,
171,273,848557,10/17/2021,273003,Wheat Spelt & Rye Mix 5kg,0,,,,,0,
171,273,848557,10/17/2021,273004,Wholemeal Bread Mix 8kg (Half Mix),0,,,,,0,
171,273,848557,10/17/2021,273005,Granary Bread Mix 8kg (Half Mix),0,,,,,0,
171,273,848557,10/17/2021,273006,Granary Soft Mix 8kg (Half Mix),0,,,,,0,
171,273,848557,10/17/2021,273007,Wholemeal Soft Mix 8kg (Half Mix),0,,,,,0,
171,273,848557,10/17/2021,273008,Fruited Dough Mix 8kg (Half Mix),0,,,,,0,
171,273,848557,10/17/2021,273009,Doughnut Dough Mix 16kg (Full Mix),0,,,,,0,
171,273,848557,10/17/2021,104721494,MIN: White Split Tin 800g,2,,,3,,2,
171,273,848557,10/17/2021,104721523,MIN: White Split Tin 800g Sliced,0,,,,,0,
171,273,848557,10/17/2021,104721582,MIN: 'M' White Split Tin 400g,3,,,3,,3,
171,273,848557,10/17/2021,104721603,MIN:  'M' White Split Tin 400g Sliced,0,,,,,0,
171,273,848557,10/17/2021,104721654,MIN: Bloomer/White Bread 800g,0,,,4,,0,
171,273,848557,10/17/2021,104721689,MIN: Bloomer/White Bread 800g sliced,0,,,,,0,
171,273,848557,10/17/2021,104721718,MIN: Bloomer/White Bread 400g,5,,,2,,5,
171,273,848557,10/17/2021,104721742,MIN: Bloomer/White Bread 400g sliced,3,,,1,,3,
171,273,848557,10/17/2021,104726439,MIN: M Wholemeal Bread 800g (L),1,,,1,,1,
171,273,848557,10/17/2021,104726455,MIN: M Wholemeal Bread Sliced 800g (L),0,,,,,0,
171,273,848557,10/17/2021,104726471,MIN: M Wholemeal Bread 400g (L),0,,,2,,0,
171,273,848557,10/17/2021,104726674,MIN: M Tiger Bread 400g (L),0,,,2,,0,
171,273,848557,10/17/2021,104726720,MIN: M Tiger Bread 800g (L),0,,,,,0,
171,273,848557,10/17/2021,104727773,MIN: M Multigrain Bread Sliced 450g,0,,,,,0,
171,273,848557,10/17/2021,104727811,MIN: M Wholemeal Bread Sliced 400g (L),3,,,,,3,
171,273,848557,10/17/2021,104728872,MIN: M Granary Loaf/ Malted Brown 800g,0,,,,,0,
171,273,848557,10/17/2021,104728995,MIN: M Granary Loaf/ Malted Brown Sliced 800g,0,,,5,,0,
171,273,848557,10/17/2021,104729058,MIN: M The Best  Walnut Sunflower Bread 450g,0,,,,,0,
171,273,848557,10/17/2021,104729066,MIN: M Granary Loaf/ Malted Brown 400g,0,,,,,0,
171,273,848557,10/17/2021,104729091,MIN: M The Best  Walnut Sunflower Bread  Sliced 45,0,,,,,0,
171,273,848557,10/17/2021,104729138,MIN: M Granary Loaf/ Matled Brown Sliced 400g,0,,,3,,0,
171,273,848557,10/17/2021,104729171,MIN: MORRISONS THE BEST STONEBAKED CRANBERRY PUMPK,1,,,,,1,
171,273,848557,10/17/2021,104729197,MIN: M Cranberry Pumpkin Seed Sliced 450g,0,,,,,0,
171,273,848557,10/17/2021,104729251,MIN: MORRISONS THE BEST STONEBAKED DATE AND WALNUT,2,,,,,2,
171,273,848557,10/17/2021,104729285,MIN: M date and walnut bread sliced 400g (L),0,,,,,0,
171,273,848557,10/17/2021,104729390,MORRISONS THE BEST STONEBAKED SOURDOUGH BLOOMER 40,6,,,4,,6,
171,273,848557,10/17/2021,104735722,MIN: MORRISONS WHITE BAGUETTE,11,,,9,,11,
171,273,848557,10/17/2021,104735773,MIN: M Tiger Stick (L),0,,,2,,0,
171,273,848557,10/17/2021,104735837,MIN: M French Stick Short Bread Cheese (L),0,,,,,0,
171,273,848557,10/17/2021,104735976,MIN: Garlic Tear & Share Bread,0,,,,,0,
171,273,848557,10/17/2021,104736151,MIN: M Large White Baguette 400g,6,,,9,,6,
171,273,848557,10/17/2021,104736776,MIN: Cheese & Tomato Bread to Share,1,,,,,1,
171,273,848557,10/17/2021,104736792,MIN: Garlic & Herb Bread to Share,0,,,,,0,
171,273,848557,10/17/2021,104736813,MIN: Red Pepper/Mozzarella Piazza,0,,,,,0,
171,273,848557,10/17/2021,104737891,MIN: Sandwich Baguette White 4PK,0,,,,,0,
171,273,848557,10/17/2021,104737939,MIN: M Large White Baps 6pk,0,,,46,,0,
171,273,848557,10/17/2021,104738026,MIN: Farmhouse/White Bread 800g,0,,,5,,0,
171,273,848557,10/17/2021,104738042,MIN: M Burger Sesame Bun 4 pack,0,,,7,,0,
171,273,848557,10/17/2021,104738069,MORRISONS WHITE FARMHOUSE 400G,4,,,4,,4,
171,273,848557,10/17/2021,104738131,MIN: M Large Tiger Baps 6 Pack,0,,,18,,0,
