Store,Production Area,Plan ID,Production Date,SKU Number,Description,Forecast Qty,Modified Qty,Modified By,Sales,Throwaways,Production Totals,

8,Outside Production Schedule,0,10/17/2021,109838093,MIN: MORRISONS THE BEST 2 STEAK & ALE PASTIES,,,,,,1,
8,392,848767,10/17/2021,104341803,(B) M Chunky Steak Pie,4,,,,,,
8,392,848767,10/17/2021,104343471,(B) M Steak Slice,6,,,,,,
8,392,848767,10/17/2021,105901681,(B) Family Apple Pie,8,,,,,,
8,392,848767,10/17/2021,108799563,(B) MORRISONS FAMILY MORELLO CHERRY PIE 540G,2,,,,,,
8,392,848767,10/17/2021,108799643,MIN: MORRISONS FAMILY MORELLO CHERRY PIE 540G,2,,,,,,
8,392,848767,10/17/2021,108799731,(B) MORRISONS FAMILY RHUBARB PIE 540G,4,,,,,,
8,392,848767,10/17/2021,108799791,MIN: MORRISONS FAMILY RHUBARB PIE 540G,4,,,,,,
8,392,848767,10/17/2021,108800552,(B) MORRISONS CHEESE & ONION ROLL,10,,,,,,
8,392,848767,10/17/2021,108800641,MIN: MORRISONS CHEESE & ONION ROLL 4PK,2,,,,,2,
8,392,848767,10/17/2021,108800704,MIN: MORRISONS CHEESE & ONION ROLL HOT,2,,,,,,
8,392,848767,10/17/2021,108801037,(B) MORRISONS CHEESE & ONION SLICE,4,,,,,,
8,392,848767,10/17/2021,108801125,MIN: MORRISONS CHEESE & ONION SLICE 2PK,2,,,,,2,
8,392,848767,10/17/2021,108810689,(B) MORRISONS PORK SAUSAGE ROLL,18,,,,,,
8,392,848767,10/17/2021,108810785,MIN: MORRISONS PORK SAUSAGE ROLLS 4PK,4,,,,,5,
8,392,848767,10/17/2021,108810857,MIN: MORRISONS HOT PORK SAUSAGE ROLL,2,,,,,,
8,392,848767,10/17/2021,108810929,(B) MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,,
8,392,848767,10/17/2021,108810953,MIN: MORRISONS SNACK PORK SAUSAGE ROLL,2,,,,,,
8,392,848767,10/17/2021,108810996,(B) MORRISONS LINCOLNSHIRE SAUSAGE ROLL,8,,,,,,
8,392,848767,10/17/2021,108811041,MIN: MORRISONS LINCOLNSHIRE SAUSAGE ROLLS 4PK,2,,,,,,
8,392,848767,10/17/2021,108831640,(B) MORRISONS MEAT & POTATO PIE,4,,,,,,
8,392,848767,10/17/2021,108831691,MIN:MORRISONS POTATO & MEAT  PIES 2PK,2,,,,,,
8,392,848767,10/17/2021,108831762,(B) MORRISONS CREAMY CHICKEN PIE,4,,,,,,
