"Plan ID","Date/Time","Description","Status","Finalized By","Finalized Date/Time"
"=""851738""","=""10/18/2021 7:00:00 AM GST""","=""8:00AM""","=""Created""","="" ""","="""""
"=""852249""","=""10/18/2021 9:00:00 AM GST""","=""10:00AM""","=""Created""","="" ""","="""""
"=""853254""","=""10/18/2021 11:00:00 AM GST""","=""12:00PM""","=""Created""","="" ""","="""""
"=""853926""","=""10/18/2021 1:00:00 PM GST""","=""2:00PM""","=""Created""","="" ""","="""""
"=""854267""","=""10/18/2021 3:00:00 PM GST""","=""4:00PM""","=""Created""","="" ""","="""""
"=""854760""","=""10/18/2021 5:00:00 PM GST""","=""6:00PM""","=""Created""","="" ""","="""""
"=""828880""","=""10/12/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/12/2021 11:29:16 PM GST"""
"=""829777""","=""10/12/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/12/2021 11:30:03 PM GST"""
"=""830398""","=""10/12/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/12/2021 11:35:15 PM GST"""
"=""830891""","=""10/12/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/12/2021 11:35:50 PM GST"""
"=""831413""","=""10/12/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/12/2021 11:41:31 PM GST"""
"=""831906""","=""10/12/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/12/2021 11:41:58 PM GST"""
"=""855774""","=""10/19/2021 7:00:00 AM GST""","=""8:00AM""","=""Created""","="" ""","="""""
"=""856696""","=""10/19/2021 9:00:00 AM GST""","=""10:00AM""","=""Created""","="" ""","="""""
"=""857292""","=""10/19/2021 11:00:00 AM GST""","=""12:00PM""","=""Created""","="" ""","="""""
"=""857785""","=""10/19/2021 1:00:00 PM GST""","=""2:00PM""","=""Created""","="" ""","="""""
"=""858307""","=""10/19/2021 3:00:00 PM GST""","=""4:00PM""","=""Created""","="" ""","="""""
"=""858800""","=""10/19/2021 5:00:00 PM GST""","=""6:00PM""","=""Created""","="" ""","="""""
"=""832920""","=""10/13/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/13/2021 11:26:53 PM GST"""
"=""833894""","=""10/13/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/13/2021 11:27:19 PM GST"""
"=""834438""","=""10/13/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/13/2021 11:33:09 PM GST"""
"=""834931""","=""10/13/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/13/2021 11:33:30 PM GST"""
"=""835433""","=""10/13/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/13/2021 11:37:46 PM GST"""
"=""835946""","=""10/13/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/13/2021 11:37:58 PM GST"""
"=""836959""","=""10/14/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/14/2021 11:50:41 PM GST"""
"=""837904""","=""10/14/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/14/2021 11:50:58 PM GST"""
"=""838477""","=""10/14/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/14/2021 11:56:45 PM GST"""
"=""838976""","=""10/14/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/14/2021 11:57:15 PM GST"""
"=""839492""","=""10/14/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 12:02:38 AM GST"""
"=""839985""","=""10/14/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 12:02:41 AM GST"""
"=""840999""","=""10/15/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/15/2021 11:24:22 PM GST"""
"=""841938""","=""10/15/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/15/2021 11:25:01 PM GST"""
"=""842518""","=""10/15/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 11:32:43 PM GST"""
"=""843011""","=""10/15/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 11:32:58 PM GST"""
"=""843535""","=""10/15/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 11:40:17 PM GST"""
"=""844028""","=""10/15/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/15/2021 11:40:54 PM GST"""
"=""845042""","=""10/16/2021 7:00:00 AM GST""","=""8:00AM""","=""Completed""","=""Data Service""","=""10/16/2021 11:49:17 PM GST"""
"=""845541""","=""10/16/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","=""Data Service""","=""10/16/2021 11:49:45 PM GST"""
"=""846559""","=""10/16/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","=""Data Service""","=""10/16/2021 11:57:12 PM GST"""
"=""847053""","=""10/16/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","=""Data Service""","=""10/16/2021 11:57:28 PM GST"""
"=""847573""","=""10/16/2021 3:00:00 PM GST""","=""4:00PM""","=""Completed""","=""Data Service""","=""10/17/2021 12:01:38 AM GST"""
"=""848066""","=""10/16/2021 5:00:00 PM GST""","=""6:00PM""","=""Completed""","=""Data Service""","=""10/17/2021 12:01:40 AM GST"""
"=""849141""","=""10/17/2021 9:00:00 AM GST""","=""10:00AM""","=""Completed""","="" ""","="""""
"=""850068""","=""10/17/2021 11:00:00 AM GST""","=""12:00PM""","=""Completed""","="" ""","="""""
"=""850653""","=""10/17/2021 1:00:00 PM GST""","=""2:00PM""","=""Completed""","="" ""","="""""
"=""851314""","=""10/18/2021 6:00:00 AM GST""","=""7:00AM""","=""Created""","="" ""","="""""
"=""852828""","=""10/18/2021 10:00:00 AM GST""","=""11:00AM""","=""Created""","="" ""","="""""
"=""828450""","=""10/12/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/12/2021 11:28:36 PM GST"""
"=""829972""","=""10/12/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/12/2021 11:35:06 PM GST"""
"=""855348""","=""10/19/2021 6:00:00 AM GST""","=""7:00AM""","=""Created""","="" ""","="""""
"=""856865""","=""10/19/2021 10:00:00 AM GST""","=""11:00AM""","=""Created""","="" ""","="""""
"=""832495""","=""10/13/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/13/2021 11:26:13 PM GST"""
"=""834010""","=""10/13/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/13/2021 11:32:54 PM GST"""
"=""836534""","=""10/14/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/14/2021 11:49:55 PM GST"""
"=""838052""","=""10/14/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/14/2021 11:56:06 PM GST"""
"=""840571""","=""10/15/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/15/2021 11:23:39 PM GST"""
"=""842089""","=""10/15/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/15/2021 11:31:58 PM GST"""
"=""844617""","=""10/16/2021 6:00:00 AM GST""","=""7:00AM""","=""Completed""","=""Data Service""","=""10/16/2021 11:48:47 PM GST"""
"=""846132""","=""10/16/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","=""Data Service""","=""10/16/2021 11:56:41 PM GST"""
"=""848767""","=""10/17/2021 8:30:00 AM GST""","=""09:30AM""","=""Completed""","="" ""","="""""
"=""849643""","=""10/17/2021 10:00:00 AM GST""","=""11:00AM""","=""Completed""","="" ""","="""""
