sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"forecastedQty";"modifiedQty";"productionArea";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273001";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273002";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273003";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273004";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273005";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273006";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273007";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273008";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"273009";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721494";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721523";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721582";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721603";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721654";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721689";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721718";"null";"5";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104721742";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726439";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726455";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726471";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726674";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104726720";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104727773";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104727811";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104728872";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104728995";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729058";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729066";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729091";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729138";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729171";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729197";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729251";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729285";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104729390";"null";"6";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104735722";"null";"11";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104735773";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104735837";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104735976";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104736151";"null";"6";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104736776";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104736792";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104736813";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104737891";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104737939";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738026";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738042";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738069";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738131";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738245";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738296";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738317";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104738325";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104739424";"null";"16";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104739619";"null";"9";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104739643";"null";"26";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104740100";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104740134";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104740564";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104742025";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104742480";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104742501";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104742869";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104744178";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104744573";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104744830";"null";"40";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745445";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745461";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745576";"null";"13";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745613";"null";"7";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745630";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745832";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745891";"null";"141";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104745912";"null";"26";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104746034";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104750682";"null";"6";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104750789";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104788592";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"104814981";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"105697941";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"105735290";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"105735361";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"105775591";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106308118";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106308441";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106337541";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106361445";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106361488";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106452814";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"106500054";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107168209";"null";"5";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391401";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391540";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391566";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391591";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391726";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"107391742";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108128065";"null";"7";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108128081";"null";"6";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108128129";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108143898";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108153130";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108153181";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108153201";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108154212";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108221606";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108812650";"null";"19";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108812721";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"108812801";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109321342";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109323321";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109706912";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109706998";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109707018";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109847791";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109847838";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109847854";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109848064";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109875871";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109925429";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"109964891";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110114834";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110114973";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110249860";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110249931";"null";"5";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110270191";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110295719";"null";"6";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110342950";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110547411";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110547437";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110547461";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110547496";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110740608";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110986069";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110986085";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"110998781";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111013630";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111040030";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111050220";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111167276";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111182206";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111200136";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111718550";"null";"0";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111809697";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111813776";"null";"1";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111821080";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111856080";"null";"4";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111889931";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111889957";"null";"3";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111889990";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111892161";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"5:00AM Bake Wave";"111922155";"null";"2";"null";"273";
"171";"null";"null";"2021-10-17";"7:00AM";"104341803";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"104343471";"null";"6";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"105901681";"null";"13";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"107701114";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"107701165";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108799563";"null";"5";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108799643";"null";"5";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108799731";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108799791";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108800552";"null";"10";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108800641";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108800704";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108801037";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108801125";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810689";"null";"14";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810785";"null";"3";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810857";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810929";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810953";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108810996";"null";"8";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108811041";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108831914";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836512";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836539";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836601";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108836731";"null";"13";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108837179";"null";"0";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108838649";"null";"7";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"108865719";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109383447";"null";"8";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109383498";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540342";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540385";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540431";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540473";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540529";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109540561";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109781091";"null";"0";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838093";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838245";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"109838384";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189465";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189490";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110189529";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110227311";"null";"1";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110237666";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110243628";"null";"2";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110249131";"null";"4";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110586663";"null";"14";"null";"392";
"171";"null";"null";"2021-10-17";"7:00AM";"110737994";"null";"4";"null";"392";
