sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";
"8";"392";"2021-10-17";"09:30AM";"104341803";"4";
"8";"392";"2021-10-17";"09:30AM";"104343471";"6";
"8";"392";"2021-10-17";"09:30AM";"105901681";"8";
"8";"392";"2021-10-17";"09:30AM";"108799563";"2";
"8";"392";"2021-10-17";"09:30AM";"108799731";"4";
"8";"392";"2021-10-17";"09:30AM";"108800552";"10";
"8";"392";"2021-10-17";"09:30AM";"108801037";"4";
"8";"392";"2021-10-17";"09:30AM";"108810689";"18";
"8";"392";"2021-10-17";"09:30AM";"108810929";"2";
"8";"392";"2021-10-17";"09:30AM";"108810996";"8";
"8";"392";"2021-10-17";"09:30AM";"108831640";"4";
"8";"392";"2021-10-17";"09:30AM";"108831762";"4";
"8";"392";"2021-10-17";"09:30AM";"108837179";"0";
"8";"392";"2021-10-17";"09:30AM";"108865719";"4";
"8";"392";"2021-10-17";"09:30AM";"109383359";"8";
"8";"392";"2021-10-17";"09:30AM";"109383447";"8";
"8";"392";"2021-10-17";"09:30AM";"110189465";"4";
"8";"392";"2021-10-17";"09:30AM";"110189490";"4";
"8";"392";"2021-10-17";"09:30AM";"110189529";"4";
"8";"392";"2021-10-17";"09:30AM";"110237666";"4";
"8";"392";"2021-10-17";"09:30AM";"110243388";"4";
"8";"392";"2021-10-17";"09:30AM";"110243530";"4";
"8";"392";"2021-10-17";"09:30AM";"110249131";"4";
"8";"392";"2021-10-17";"09:30AM";"110586524";"8";
"8";"392";"2021-10-17";"09:30AM";"110586663";"10";
"8";"392";"2021-10-17";"09:30AM";"110737994";"4";
"8";"392";"2021-10-17";"09:30AM";"110747754";"2";
"8";"392";"2021-10-17";"09:30AM";"110847886";"4";
"304";"392";"2021-10-17";"9:30AM";"104341803";"4";
"304";"392";"2021-10-17";"9:30AM";"104343471";"4";
"304";"392";"2021-10-17";"9:30AM";"105901681";"1";
"304";"392";"2021-10-17";"9:30AM";"108799563";"2";
"304";"392";"2021-10-17";"9:30AM";"108799731";"2";
"304";"392";"2021-10-17";"9:30AM";"108800552";"8";
"304";"392";"2021-10-17";"9:30AM";"108810689";"8";
"304";"392";"2021-10-17";"9:30AM";"108810929";"24";
"304";"392";"2021-10-17";"9:30AM";"110237666";"4";
"304";"392";"2021-10-17";"9:30AM";"110243530";"2";
"304";"392";"2021-10-17";"9:30AM";"110249131";"4";
"313";"392";"2021-10-17";"09:30AM";"104341803";"4";
"313";"392";"2021-10-17";"09:30AM";"104343471";"6";
"313";"392";"2021-10-17";"09:30AM";"105901681";"21";
"313";"392";"2021-10-17";"09:30AM";"108799563";"4";
"313";"392";"2021-10-17";"09:30AM";"108799731";"7";
"313";"392";"2021-10-17";"09:30AM";"108800552";"10";
"313";"392";"2021-10-17";"09:30AM";"108810689";"10";
"313";"392";"2021-10-17";"09:30AM";"108810929";"2";
"313";"392";"2021-10-17";"09:30AM";"108865719";"4";
"313";"392";"2021-10-17";"09:30AM";"109383287";"2";
"313";"392";"2021-10-17";"09:30AM";"110189465";"4";
"313";"392";"2021-10-17";"09:30AM";"110189490";"4";
"313";"392";"2021-10-17";"09:30AM";"110243530";"4";
"313";"392";"2021-10-17";"09:30AM";"110249131";"6";
"313";"392";"2021-10-17";"09:30AM";"110586663";"14";
"313";"392";"2021-10-17";"09:30AM";"110737994";"4";
"313";"392";"2021-10-17";"09:30AM";"110747754";"6";
"474";"392";"2021-10-17";"09:30AM";"104341803";"4";
"474";"392";"2021-10-17";"09:30AM";"104343471";"6";
"474";"392";"2021-10-17";"09:30AM";"108800552";"10";
"474";"392";"2021-10-17";"09:30AM";"108801037";"4";
"474";"392";"2021-10-17";"09:30AM";"108810689";"10";
"474";"392";"2021-10-17";"09:30AM";"108810929";"16";
"474";"392";"2021-10-17";"09:30AM";"108831762";"2";
"474";"392";"2021-10-17";"09:30AM";"108865719";"4";
"474";"392";"2021-10-17";"09:30AM";"109383447";"8";
"474";"392";"2021-10-17";"09:30AM";"110189465";"4";
"474";"392";"2021-10-17";"09:30AM";"110237666";"2";
"474";"392";"2021-10-17";"09:30AM";"110249131";"4";
"8";"390";"2021-10-17";"10:00AM";"104284116";"25";
"8";"390";"2021-10-17";"10:00AM";"104305589";"30";
"8";"390";"2021-10-17";"10:00AM";"104978599";"24";
"8";"390";"2021-10-17";"10:00AM";"105348927";"50";
"8";"390";"2021-10-17";"10:00AM";"105348994";"5";
"8";"390";"2021-10-17";"10:00AM";"105453541";"2";
"8";"390";"2021-10-17";"10:00AM";"105810149";"28";
"8";"390";"2021-10-17";"10:00AM";"105810211";"12";
"8";"390";"2021-10-17";"10:00AM";"105810261";"30";
"8";"390";"2021-10-17";"10:00AM";"106795201";"6";
"8";"390";"2021-10-17";"10:00AM";"108812617";"6";
"8";"390";"2021-10-17";"10:00AM";"109386226";"6";
"8";"390";"2021-10-17";"10:00AM";"109807369";"3";
"8";"390";"2021-10-17";"10:00AM";"109807481";"3";
"8";"390";"2021-10-17";"10:00AM";"110280816";"6";
"8";"390";"2021-10-17";"10:00AM";"110281069";"6";
"8";"390";"2021-10-17";"10:00AM";"110482856";"6";
"8";"390";"2021-10-17";"10:00AM";"110482881";"10";
"8";"390";"2021-10-17";"10:00AM";"110482928";"35";
"8";"390";"2021-10-17";"10:00AM";"110949567";"3";
"304";"390";"2021-10-17";"10:00AM";"104284116";"25";
"304";"390";"2021-10-17";"10:00AM";"104305589";"30";
"304";"390";"2021-10-17";"10:00AM";"104978599";"4";
"304";"390";"2021-10-17";"10:00AM";"105348927";"40";
"304";"390";"2021-10-17";"10:00AM";"105348994";"14";
"304";"390";"2021-10-17";"10:00AM";"105453541";"2";
"304";"390";"2021-10-17";"10:00AM";"105810149";"28";
"304";"390";"2021-10-17";"10:00AM";"105810211";"50";
"304";"390";"2021-10-17";"10:00AM";"105810261";"30";
"304";"390";"2021-10-17";"10:00AM";"106795201";"6";
"304";"390";"2021-10-17";"10:00AM";"108812617";"6";
"304";"390";"2021-10-17";"10:00AM";"109386226";"13";
"304";"390";"2021-10-17";"10:00AM";"109807481";"2";
"304";"390";"2021-10-17";"10:00AM";"110280816";"8";
"304";"390";"2021-10-17";"10:00AM";"110281069";"8";
"304";"390";"2021-10-17";"10:00AM";"110482856";"14";
"304";"390";"2021-10-17";"10:00AM";"110482881";"17";
"304";"390";"2021-10-17";"10:00AM";"110482928";"75";
"304";"390";"2021-10-17";"10:00AM";"110949567";"5";
"313";"390";"2021-10-17";"10:00AM";"104284116";"35";
"313";"390";"2021-10-17";"10:00AM";"104305589";"30";
"313";"390";"2021-10-17";"10:00AM";"104978599";"24";
"313";"390";"2021-10-17";"10:00AM";"105348927";"85";
"313";"390";"2021-10-17";"10:00AM";"105348994";"29";
"313";"390";"2021-10-17";"10:00AM";"105453541";"2";
"313";"390";"2021-10-17";"10:00AM";"105810149";"28";
"313";"390";"2021-10-17";"10:00AM";"105810211";"24";
"313";"390";"2021-10-17";"10:00AM";"105810261";"30";
"313";"390";"2021-10-17";"10:00AM";"106795201";"6";
"313";"390";"2021-10-17";"10:00AM";"108812617";"0";
"313";"390";"2021-10-17";"10:00AM";"109386226";"42";
"313";"390";"2021-10-17";"10:00AM";"109807369";"2";
"313";"390";"2021-10-17";"10:00AM";"109807481";"5";
"313";"390";"2021-10-17";"10:00AM";"110280816";"8";
"313";"390";"2021-10-17";"10:00AM";"110281069";"10";
"313";"390";"2021-10-17";"10:00AM";"110482856";"20";
"313";"390";"2021-10-17";"10:00AM";"110482881";"23";
"313";"390";"2021-10-17";"10:00AM";"110482928";"80";
"313";"390";"2021-10-17";"10:00AM";"110949567";"6";
"474";"390";"2021-10-17";"10:00AM";"104284116";"25";
"474";"390";"2021-10-17";"10:00AM";"104305589";"30";
"474";"390";"2021-10-17";"10:00AM";"104978599";"24";
"474";"390";"2021-10-17";"10:00AM";"105348927";"40";
"474";"390";"2021-10-17";"10:00AM";"105348994";"4";
"474";"390";"2021-10-17";"10:00AM";"105453541";"2";
"474";"390";"2021-10-17";"10:00AM";"105810149";"28";
"474";"390";"2021-10-17";"10:00AM";"105810211";"12";
"474";"390";"2021-10-17";"10:00AM";"105810261";"30";
"474";"390";"2021-10-17";"10:00AM";"106795201";"6";
"474";"390";"2021-10-17";"10:00AM";"108812617";"6";
"474";"390";"2021-10-17";"10:00AM";"109386226";"52";
"474";"390";"2021-10-17";"10:00AM";"109807369";"2";
"474";"390";"2021-10-17";"10:00AM";"109807481";"2";
"474";"390";"2021-10-17";"10:00AM";"110280816";"8";
"474";"390";"2021-10-17";"10:00AM";"110281069";"8";
"474";"390";"2021-10-17";"10:00AM";"110482856";"13";
"474";"390";"2021-10-17";"10:00AM";"110482881";"24";
"474";"390";"2021-10-17";"10:00AM";"110482928";"40";
"474";"390";"2021-10-17";"10:00AM";"110949567";"0";
"8";"392";"2021-10-17";"11:00AM";"104341803";"18";
"8";"392";"2021-10-17";"11:00AM";"104343471";"8";
"8";"392";"2021-10-17";"11:00AM";"108800552";"42";
"8";"392";"2021-10-17";"11:00AM";"108801037";"8";
"8";"392";"2021-10-17";"11:00AM";"108810689";"39";
"8";"392";"2021-10-17";"11:00AM";"108810929";"2";
"8";"392";"2021-10-17";"11:00AM";"108810996";"8";
"8";"392";"2021-10-17";"11:00AM";"108831640";"4";
"8";"392";"2021-10-17";"11:00AM";"108831762";"6";
"8";"392";"2021-10-17";"11:00AM";"108837179";"0";
"8";"392";"2021-10-17";"11:00AM";"108865719";"10";
"8";"392";"2021-10-17";"11:00AM";"109383447";"8";
"8";"392";"2021-10-17";"11:00AM";"110189465";"4";
"8";"392";"2021-10-17";"11:00AM";"110189490";"4";
"8";"392";"2021-10-17";"11:00AM";"110189529";"4";
"8";"392";"2021-10-17";"11:00AM";"110237666";"4";
"8";"392";"2021-10-17";"11:00AM";"110243388";"4";
"8";"392";"2021-10-17";"11:00AM";"110243530";"4";
"8";"392";"2021-10-17";"11:00AM";"110249131";"8";
"8";"392";"2021-10-17";"11:00AM";"110737994";"4";
"8";"392";"2021-10-17";"11:00AM";"110747754";"4";
"8";"392";"2021-10-17";"11:00AM";"110847886";"4";
"304";"392";"2021-10-17";"11:00AM";"104341803";"22";
"304";"392";"2021-10-17";"11:00AM";"104343471";"10";
"304";"392";"2021-10-17";"11:00AM";"105901681";"9";
"304";"392";"2021-10-17";"11:00AM";"108799563";"7";
"304";"392";"2021-10-17";"11:00AM";"108799731";"3";
"304";"392";"2021-10-17";"11:00AM";"108800552";"14";
"304";"392";"2021-10-17";"11:00AM";"108801037";"4";
"304";"392";"2021-10-17";"11:00AM";"108810689";"42";
"304";"392";"2021-10-17";"11:00AM";"108810929";"64";
"304";"392";"2021-10-17";"11:00AM";"108865719";"6";
"304";"392";"2021-10-17";"11:00AM";"110189465";"8";
"304";"392";"2021-10-17";"11:00AM";"110237666";"16";
