sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"forecastedQty";"modifiedQty";"productionArea";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"103264421";"Sausage Sandwich";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"103267824";"Bacon Sandwich";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104284132";"'M' 4 Texan Chicken Wings";"5";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104284271";"'M' Plain Chicken Leg";"4";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104284280";"'M' 4 Plain Chicken Legs";"4";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104288230";"'M' Bacon Rib";"1";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104305600";"'M' Stout Chicken Thigh";"5";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104306047";"'M' Plain Chicken Drumstick";"5";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104306063";"'M' 4 Plain Chicken Drumsticks";"5";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104317301";"MIN: 'M' Extra Tasty British Chicken";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104317379";"'M' Roast British Chicken";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"104473179";"'M' 4 Jumbo Sausages";"4";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"105018426";"MIN: 'M' Extra Tasty British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"105018451";"MIN: 'M' Roast British Chicken VAT FREE";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"105033651";"Jumbo Pork Sausage (New)";"4";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"105190120";"'M' Plain Chicken Leg 2's";"4";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"105349022";"Gammon Shank";"2";"null";"390";
"8";"Thornbury";"1643277239";"2021-10-18";"8:00AM";"106795825";"Large Plain Chicken Breast x 2";"2";"null";"390";
