sep=;

"storeNumber";"storeName";"planId";"date";"schedule";"itemNumber";"itemDescription";"modifiedQty";"productionArea";"v1_forecast";"v2_forecast";
"8";"null";"null";"2021-10-20";"7:00AM";"104341803";"null";"null";"392";"10";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"104343471";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"105901681";"null";"null";"392";"14";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108799563";"null";"null";"392";"3";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108799643";"null";"null";"392";"3";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108799731";"null";"null";"392";"5";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108799791";"null";"null";"392";"5";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108800552";"null";"null";"392";"19";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108800641";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108800704";"null";"null";"392";"3";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108801037";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108801125";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810689";"null";"null";"392";"26";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810785";"null";"null";"392";"6";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810857";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810929";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810953";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108810996";"null";"null";"392";"8";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108811041";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108831640";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108831691";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108831762";"null";"null";"392";"4";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108831834";"null";"null";"392";"2";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108831914";"null";"null";"392";"5";"n/a";
"8";"null";"null";"2021-10-20";"7:00AM";"108836424";"null";"null";"392";"3";"n/a";
