sep=;

"storeNumber";"productionArea";"date";"schedule";"itemNumber";"v1_forecast";"v2_forecast";
"8";"390";"2021-10-17";"10:00AM";"105018426";"3";"4";
"8";"390";"2021-10-17";"10:00AM";"105018451";"3";"4";
"8";"390";"2021-10-17";"10:00AM";"105349022";"4";"5";
"8";"390";"2021-10-17";"10:00AM";"109315591";"1";"2";
"8";"390";"2021-10-17";"10:00AM";"109315612";"3";"4";
"8";"390";"2021-10-17";"10:00AM";"109821259";"2";"3";
"8";"390";"2021-10-17";"10:00AM";"109821363";"1";"3";
"8";"390";"2021-10-17";"10:00AM";"110230093";"1";"0";
"8";"390";"2021-10-17";"10:00AM";"110488730";"1";"2";
"8";"390";"2021-10-17";"10:00AM";"110488772";"1";"2";
"8";"390";"2021-10-17";"10:00AM";"110488810";"1";"0";
"8";"390";"2021-10-17";"10:00AM";"110488836";"1";"2";
"8";"390";"2021-10-17";"10:00AM";"110488887";"1";"2";
"8";"390";"2021-10-17";"10:00AM";"111473441";"1";"0";
"8";"390";"2021-10-17";"10:00AM";"111473468";"1";"0";
"8";"390";"2021-10-17";"12:00PM";"103264421";"2";"4";
"8";"390";"2021-10-17";"12:00PM";"104288230";"4";"3";
"8";"390";"2021-10-17";"12:00PM";"104317301";"6";"9";
"8";"390";"2021-10-17";"12:00PM";"104317379";"3";"4";
"8";"390";"2021-10-17";"12:00PM";"105018426";"5";"3";
"8";"390";"2021-10-17";"12:00PM";"105190120";"4";"6";
"8";"390";"2021-10-17";"12:00PM";"109821259";"2";"3";
"8";"390";"2021-10-17";"2:00PM";"103264421";"1";"2";
"8";"390";"2021-10-17";"2:00PM";"104317301";"5";"4";
"8";"390";"2021-10-17";"2:00PM";"105018426";"4";"3";
"8";"390";"2021-10-17";"2:00PM";"105018451";"4";"5";
"8";"390";"2021-10-17";"2:00PM";"109315591";"1";"2";
"8";"392";"2021-10-17";"09:30AM";"111922278";"2";"0";
"8";"392";"2021-10-17";"09:30AM";"108801125";"1";"2";
"8";"392";"2021-10-17";"09:30AM";"108810785";"3";"4";
"8";"392";"2021-10-17";"09:30AM";"108831691";"1";"2";
"8";"392";"2021-10-17";"09:30AM";"108831834";"1";"2";
"8";"392";"2021-10-17";"09:30AM";"108836424";"3";"4";
"8";"392";"2021-10-17";"09:30AM";"108838649";"3";"5";
"8";"392";"2021-10-17";"09:30AM";"109781091";"2";"0";
"8";"392";"2021-10-17";"09:30AM";"109838384";"0";"2";
"8";"392";"2021-10-17";"09:30AM";"110243425";"1";"2";
"8";"392";"2021-10-17";"09:30AM";"108836731";"9";"8";
"8";"392";"2021-10-17";"09:30AM";"108799791";"2";"4";
"8";"392";"2021-10-17";"11:00AM";"111922278";"2";"0";
"8";"392";"2021-10-17";"11:00AM";"108810785";"7";"9";
"8";"392";"2021-10-17";"11:00AM";"108831691";"1";"2";
"8";"392";"2021-10-17";"11:00AM";"108836601";"4";"5";
"8";"392";"2021-10-17";"11:00AM";"109781091";"2";"0";
"8";"392";"2021-10-17";"11:00AM";"109838384";"1";"2";
"8";"392";"2021-10-17";"11:00AM";"110227311";"3";"2";
"8";"392";"2021-10-17";"11:00AM";"110243628";"3";"4";
"8";"392";"2021-10-17";"11:00AM";"111790631";"1";"0";
"8";"392";"2021-10-17";"11:00AM";"111790594";"0";"5";
"8";"392";"2021-10-17";"11:00AM";"111790658";"1";"429";
"8";"392";"2021-10-17";"11:00AM";"111813792";"0";"3";
"8";"392";"2021-10-17";"11:00AM";"111790691";"1";"450";
"474";"390";"2021-10-17";"10:00AM";"104305773";"1";"2";
"474";"390";"2021-10-17";"10:00AM";"105349022";"1";"4";
"474";"390";"2021-10-17";"10:00AM";"109315479";"1";"2";
"474";"390";"2021-10-17";"10:00AM";"109315495";"6";"10";
"474";"390";"2021-10-17";"10:00AM";"109315591";"1";"2";
"474";"390";"2021-10-17";"10:00AM";"109315612";"2";"3";
"474";"390";"2021-10-17";"10:00AM";"109821363";"1";"0";
"474";"390";"2021-10-17";"10:00AM";"109821515";"1";"2";
"474";"390";"2021-10-17";"10:00AM";"110230093";"1";"0";
"474";"390";"2021-10-17";"10:00AM";"110488633";"1";"8";
"474";"390";"2021-10-17";"10:00AM";"110488730";"2";"3";
"474";"390";"2021-10-17";"10:00AM";"111473468";"1";"2";
"474";"390";"2021-10-17";"12:00PM";"106795825";"2";"3";
"474";"390";"2021-10-17";"12:00PM";"107266431";"5";"6";
"474";"390";"2021-10-17";"12:00PM";"109821259";"3";"4";
"474";"390";"2021-10-17";"2:00PM";"103264421";"1";"2";
"474";"390";"2021-10-17";"2:00PM";"105018426";"7";"6";
"474";"390";"2021-10-17";"2:00PM";"105018451";"6";"8";
"474";"390";"2021-10-17";"2:00PM";"109315591";"1";"2";
"474";"390";"2021-10-17";"2:00PM";"109315612";"3";"4";
"474";"390";"2021-10-17";"2:00PM";"103264421";"1";"2";
"474";"390";"2021-10-17";"2:00PM";"105018426";"2";"6";
"474";"390";"2021-10-17";"2:00PM";"105018451";"2";"8";
"474";"390";"2021-10-17";"2:00PM";"109315591";"1";"2";
"474";"390";"2021-10-17";"2:00PM";"109315612";"1";"4";
"474";"392";"2021-10-17";"09:30AM";"108801125";"0";"2";
"474";"392";"2021-10-17";"11:00AM";"108800641";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108810785";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"110243628";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108831914";"6";"9";
"474";"392";"2021-10-17";"11:00AM";"110227311";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108801125";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"109838245";"2";"4";
"474";"392";"2021-10-17";"11:00AM";"108800704";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108810742";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108810953";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"108811024";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"108811041";"2";"3";
"474";"392";"2021-10-17";"11:00AM";"109838069";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"109838368";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"109842447";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"110738090";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"110821504";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"111922235";"2";"0";
"474";"392";"2021-10-17";"11:00AM";"111922278";"2";"0";
"313";"390";"2021-10-17";"10:00AM";"103264421";"1";"2";
"313";"390";"2021-10-17";"10:00AM";"103267824";"2";"0";
"313";"390";"2021-10-17";"10:00AM";"104284132";"5";"7";
"313";"390";"2021-10-17";"10:00AM";"104288230";"1";"2";
"313";"390";"2021-10-17";"10:00AM";"104305765";"1";"4";
"313";"390";"2021-10-17";"10:00AM";"104305773";"1";"4";
"313";"390";"2021-10-17";"10:00AM";"104317301";"2";"4";
"313";"390";"2021-10-17";"10:00AM";"104317379";"2";"5";
"313";"390";"2021-10-17";"10:00AM";"105018426";"2";"4";
"313";"390";"2021-10-17";"10:00AM";"105018451";"2";"5";
"313";"390";"2021-10-17";"10:00AM";"105349022";"1";"29";
"313";"390";"2021-10-17";"10:00AM";"109315591";"1";"3";
"313";"390";"2021-10-17";"10:00AM";"109315612";"1";"7";
"313";"390";"2021-10-17";"10:00AM";"110488633";"1";"16";
"313";"390";"2021-10-17";"10:00AM";"110488836";"1";"7";
"313";"390";"2021-10-17";"10:00AM";"110488887";"1";"2";
"313";"390";"2021-10-17";"10:00AM";"110488924";"1";"3";
"313";"390";"2021-10-17";"10:00AM";"111473441";"1";"5";
"313";"390";"2021-10-17";"10:00AM";"111473468";"1";"8";
"313";"390";"2021-10-17";"10:00AM";"109315479";"1";"2";
"313";"390";"2021-10-17";"10:00AM";"109315495";"1";"8";
"313";"390";"2021-10-17";"10:00AM";"109821363";"1";"6";
"313";"390";"2021-10-17";"10:00AM";"109821515";"1";"5";
"313";"390";"2021-10-17";"10:00AM";"110230093";"1";"0";
"313";"390";"2021-10-17";"10:00AM";"110488730";"1";"8";
"313";"390";"2021-10-17";"10:00AM";"110488772";"1";"2";
"313";"390";"2021-10-17";"10:00AM";"110488810";"1";"2";
"313";"390";"2021-10-17";"12:00PM";"103264421";"1";"2";
"313";"390";"2021-10-17";"12:00PM";"103267824";"2";"0";
"313";"390";"2021-10-17";"12:00PM";"104284132";"5";"11";
"313";"390";"2021-10-17";"12:00PM";"104284271";"4";"6";
"313";"390";"2021-10-17";"12:00PM";"104288230";"1";"8";
"313";"390";"2021-10-17";"12:00PM";"104305600";"5";"9";
"313";"390";"2021-10-17";"12:00PM";"104317301";"2";"3";
"313";"390";"2021-10-17";"12:00PM";"104317379";"2";"15";
"313";"390";"2021-10-17";"12:00PM";"105018426";"2";"6";
"313";"390";"2021-10-17";"12:00PM";"105018451";"2";"8";
"313";"390";"2021-10-17";"12:00PM";"105033651";"4";"5";
"313";"390";"2021-10-17";"12:00PM";"106795825";"2";"4";
"313";"390";"2021-10-17";"12:00PM";"106796035";"2";"3";
"313";"390";"2021-10-17";"12:00PM";"109821259";"2";"6";
"313";"390";"2021-10-17";"2:00PM";"103264421";"1";"2";
"313";"390";"2021-10-17";"2:00PM";"103267824";"2";"0";
"313";"390";"2021-10-17";"2:00PM";"104317301";"2";"3";
"313";"390";"2021-10-17";"2:00PM";"104317379";"2";"5";
"313";"390";"2021-10-17";"2:00PM";"105018451";"2";"9";
"313";"390";"2021-10-17";"2:00PM";"109315591";"1";"2";
"313";"390";"2021-10-17";"2:00PM";"109315612";"1";"3";
"313";"392";"2021-10-17";"09:30AM";"108838649";"2";"7";
"313";"392";"2021-10-17";"09:30AM";"110227441";"0";"2";
"313";"392";"2021-10-17";"09:30AM";"110243628";"2";"3";
"313";"392";"2021-10-17";"09:30AM";"110747800";"0";"3";
"313";"392";"2021-10-17";"09:30AM";"108799643";"2";"4";
"313";"392";"2021-10-17";"09:30AM";"108836731";"2";"21";
"313";"392";"2021-10-17";"09:30AM";"108799791";"2";"7";
"313";"392";"2021-10-17";"11:00AM";"108800641";"2";"3";
"313";"392";"2021-10-17";"11:00AM";"108800704";"2";"3";
"313";"392";"2021-10-17";"11:00AM";"108810785";"2";"12";
"313";"392";"2021-10-17";"11:00AM";"108810857";"2";"3";
"313";"392";"2021-10-17";"11:00AM";"108810953";"2";"4";
"313";"392";"2021-10-17";"11:00AM";"108831914";"2";"7";
